Вопрос,Ответ
"МАОУ Зареченская СОШ. Дети из 5-9 классов  в ЭЖД до сих пор находятся в 9 паралели. В СПТ писала, молчат. Номер заявки SD25145341, SD25140779, SD25140647.","Надо проверить в обручете год освоения программы! У пятого класса должен стоять первый год освоения ООО, у шестого класса - второй год освоения ООО и т.д."
"Когда добавляю предметы алгебру и геометрию в учебном плане 9 классов, то при сохранении выходит надпись ""не найден предмет учебного плана параллели на период"". Что это значит?",Учебный план уже был прикреплён к классу? Или просто сейчас создают новый? Или вносят коррективы?
Добрый день. Не привязывается поурочное планирование во 2классе по информатике из-за отсутствия дидактических единиц при разработке уроков. Как осуществить привязку КТП к учебной группе?,Сначала добавить дидактические единицы.
"Коллеги, что делаю не так? По технологии класс делится на девочек и мальчиков, почему то учителя не могут прикрепить поурочные планы. Если класс не делится прикрепляется свободно",Учителя к классу или к группе привязывают?
"Подскажите, где администратору посмотреть сколько учителей сделали поурочное планирование и КТП, и сколько не сделали?",В разделе Требует решения. Красный восклицательный знак на верхней панели.
"Подскажите пожалуйста, как изменить статус заявления? Нет кнопки ""предварительно зачислить"". Что делать?",нажать поставить на учёт сперва
"Коллеги, пожалуйста, подскажите, как изменить учебный план ученику, при переводе из одного класса в другой одной параллели?","Поставить этому ученику дату окончания привязки учебного плана сегодняшним днем, а с завтрашнего дня поставить новый учебный план."
"Здравствуйте, подскажите, пожалуйста, почему загорелось красным количество часов учебном плане. В расписании горят красным эти же уроки. ИНН 5049012140",Почему на этих неделях отличается количество часов от 3?
При создании планирования для 6 класса выходят бесконечные ошибки,Только в этом классе?
"Добрый день. Помогите, пожалуйста.  Исправили ошибку в учебном плане. Как можно исправленный план привязать к учащимся?","Поставить ученикам дату окончания старого плана сегодня, а с завтрашнего дня присоединить новый."
"Добрый день!Проблема: 1 сентября в расписании в 11 кл название предмета было: Алгебра и начало……. И отдельно геометрия. Название было исправлено: и с 4 сентября в расписании стоит новое название.Учитель, который ведет этот урок-видит данный класс в расписании-может выдать дз и тд. Но! Если она заходит в Планирование, создает все с нуля: На втором шаге «Связь поурочных планов и групп» в списке нет группы этого класса этого предмета, чтобы связатьсяГде ошибка?",А какое новое название?
"Коллеги, подскажите какие конечные даты ставить в аттестационном периоде у 1, 2-8 классов?",1 классы 31 мая2-8 и 10 классы 7 июня
"Ребенок с ОВЗ обучается по адаптированной программе, находится в классе на инклюзивном образовании. Мы должны его как отдельную группу выделить?","Да, обязательно"
"Подскажите, где администратору посмотреть сколько учителей сделали поурочное планирование и КТП, и сколько не сделали?",Раздел требует решения. Красный восклицательный знак.
"Добрый вечер. К школе присоединились 2 дет.сада. Их нужно вводить в систему? Если нужно вводить, то делать всё то же что и со школой в июне?","Это не к спеху, можно завести в плановом режиме после завершения всех работ по основной школе"
"Срочно нужно помогать❗❗❗хорошим ученикам и их родителям. На таких держится школа, а родители не могут ничего сделать. Службе поддержке и разработчикам нужно решать вопрос с детьми, у которых свидетельство ин гражданина. Как ребёнку объяснить, что он с понедельника не сможет зарегистрироваться на Олимпиады?",Вопрос решается
Подскажите где можно увидеть полностью сетку расписания уроков и внеурочной деятельности?,Пока это два отдельных сервиса
"Кто знает, что случилось? Час назад работала 🤷‍♀️.",Перезагрузиться
"Добрый вечер. Извините, что поздно. Так как у нас появился аакунт учителя с верным СНИЛСОМ и получилось задвоение аккаунта, мы написали заявки в техподдержку, но за эти дни ничего не изменилось. Я внесла привязку в учебных планах на правильный аккаунт и изменила это в расписании. Но возникла одна проблема. Система не дает удалить и поменять уроки за 1 сентября. Я так понимаю, что работать можно только в рамках данной рабочей недели. Или все-таки есть какой-то выход из положения","Расписание на 1 сентября можно оставить как есть, в чем собственно заключается проблема?"
"Дмитрий, извините за беспокойство. Помогите пожалуйста. Я закрыла старый РП . А новый никак не могу сохранить. Пишет, что у выбранных классов уже есть привязка к РП на выбранный период. Новый при редактировании ставлю с 4.09. И ничего не получается. Помогите, пожалуйста",Может поставить с 07.09?
"Почему не могу редактировать поурочное планирование. Выдаёт данное сообщение, хотя никаких прявок к группам нет.",Всё написано в сообщении. Планирование уже прикреплено к классу.
"МБОУ Наро-Фоминская сош 6У учителей по 2 журнала 10-х классов. В одном список, в другом даты.Помогите решить проблему",По какому предмету?
"Подскажите, пожалуйста, как вести семейников? Не нашла в инструкции",Семейники не должны присутствовать в журнале.
"Шк 2. Дубна. У нас слетела ВСЯ информация по 10 кл после очередной волны интеграции! Вчера я хоть, как админ, всё видела . Сегодня и у меня ВСЁ пропало! Да, есть плюс из трёх 10 кл остался один класс и дети все там, и только один дубль по ребёнку! Но что делать с расписанием?! Решила вбить вновь, а система пишет, что в этот день у этого учителя уже есть урок в 10 кл. 😭где система это видит?! Если у меня и у учителей- Пусто?!","тут увы, расписание делать по новой. А по поводу проблемы с расписанием ещё позавчера спрашивали, ждём ответа"
"Уважаемая техподдержка,подскажите,пожалуйста,что это означает при закреплении групп учащихся- группы не сохраняются,что можно сделать",Надо делать привязки в личных карточках учеников
"Да, внеурочка, развернутое расписание сразу на неделю. Как посмотреть и скорректировать при необходимости?",В разделе  внеурочная деятельность - расписание - расписание на год.1. Выбрать группу2. развернуть расписание внеурочки для этой группы3. Для удаления выбрать занятие в расписании и нажать кнопку удалить.
"Просмотрели все группы, ни у одного учителя это поурочное планирование не прикреплено.Система пишет, что есть связи. Удалять нечего. Как быть. Прикрепить к группам этот план тоже не можем, так как он не отображается. Что делать? Таких ситуаций много. Учителя всю ночь сидят, чтобы сделать эти планы и потом они не могут прикрепить. Что им делать? Как им помочь, чтобы исправить все эти ошибки. Они же не могут по 10 раз один тот же план составлять.",На этом фото в верхней строке какой класс стоит?
А почему внеурочка вносится не в основном расписании? И можно как-нибудь просто вставить её в расписание и не делать программы за всю школу?,Для внеурочки создан свой раздел с расписанием. Что значит не делать программы на всю школу? Кто-то останется без внеурочки?
Помогите! Как удалить расписание внеурочной деятельности?,В разделе  внеурочная деятельность - расписание - расписание на год.1. Выбрать группу2. развернуть расписание внеурочки для этой группы3. Для удаления выбрать занятие в расписании и нажать кнопку удалить.
"Доработайте, пожалуйста, эту инструкцию так, чтобы было понятно, кому именно нужно это сделать и главное- где. Такую инструкцию я не могу ни классным руководителям отправить, ни родителям.",Про логин пароль
"Подскажите пожалуйста. 11 классам нужно сделать математику без деления по предметам. Нужна просто математика. Где её исправить, что бы в УП появилась просто математика?",В учебном плане поставить часы математики. Какой фгос используется?
Как из одной группы по предмету перевести в другую?,В разделе группы и учащиеся. Поставить зелёную точку в другую группу.
"Фгос 2.0. Это мы убрали, но он требует добавить предметы, а не даёт оставить просто математика",Надо ставить два предмета Математика: алгебра и начала математического анализа. Математика: геометрия.Тем более школа ставит 5 часов на этот предмет.В аттестат войдёт именно Математика.
"Подскажите, пожалуйста, как создать вторую внеурочку Разговора о важном 5-11 класс. На 1-4 уже есть.","В разделе внеурочная деятельность, планирование, нажать ""Новая программа""."
"Маша, скажите пожалуйста у меня 1 класс, мне вообще нужно метагруппы создавать?","Нсли класс не делится на группы и не объединяется с другими учениками, то не надо."
"Меняем снилс у ребёнка, вот такая ошибка.","проблемы с контактами. как вариант - удалить контакты, поменять СНИЛС и снова их внести"
"Доброе утро, подскажите почему не прикрепляются программы",Проверить количество учебных недель не менее 36 и наличие дидактических единиц на каждом уроке.
С кого мы должны собирать согласия на обработку ПД по фгис? Со всех или только с первого класса?,Только с 1 класса и вновь прибывшие из других регионов.
"Добрый день. Помогите, пожалуйста, решить проблему- в одном классе идёт деление на группы. половина класса уходит на английский язык, другая половина- на информатику. В расписании не получается в одну ячейку вставить два разных предмета. Создавала метапредметную группу- ничего не меняется. То есть, если отдельно вставить информатику или английский- можно. а англ и инфор на один урок- нет. Всё делаю как в рекомендациях",Проверить списки групп. Скорее всего идёт пересечение по ребёнку.
"Всё образовательные программы есть, классы прикреплены","это баг, пусть выберут любой уровень образования, какой выбирается"
"Некоторым ученикам прикрепились учебные планы других параллелей. Открепить не даёт, только через удаление расписания, видимо. Как быть? Почему такое произошло?","Поставить дату окончания действия учебного плана сегодняшним числом, а с завтрашнего дня поставить новый учебный план."
Если в школе у 5-11 классов меняться режим пребывания? У нас полетит расписание? Нужно будет вносить всё заново?,Да
Будет в будущем возможность без таких последствий редактировать режим пребывания?,Нет. Режим пребывания один на год. Либо пусть делают на модуль и собирают все шаги на модуль.
"Добрый день, скажите пожалуйста почему у меня пропали все обучающиеся 8,9 и 7 классов и расписание в этих классах?","попробовать перезайти, кэш куки. иногда бывает из-за авторизации"
"МБОУ Нерастанновская СОШ, г.о. Чехов. Ну когда же это исправят?","пробовать другие устройства, чистить кэш куки. Как вариант проверить все ли поля заполнили, так иногда вылезает если нет типа ДУЛ"
"Что для привязки родителя к ученику надо только ФИО и СНИЛС родителя и тогда родитель сможет входить во ФГИС МОЯ ШКОЛА к своему ребёнку в дневник. Это правда? То есть не нужна привязка детей к родителям в Госуслугах, не нужны паспортные данные родителей в карточке ученика. И школьный администратор может волшебным образом сделать связь ученика и родителя в ЭЖ.","паспортные данные не нунжы, всё правильно. должно быть 2 связи:1. Обручёт2. Гу"
"СОШ 19. Серпухов. При исправлении ошибки в СОР ребенка выходит такая ошибка. Как узнать, где существует персона с такими же данными?",нужен док
МАОУ СОШ 10ДолгопрудныйПочему могут быть вот так НЕ активны дети? Они учатся у нас и не переходили в другую школу. Это пример из 8б.,Проверить привязку к учебному плану.
"Наро-Фоминский г.о.МАОУ лицей имени Героя России Веры ВолошинойУ учителя в журнале выходит окно нет прав ( английский язык, 5 класс). Стала проверять, что может быть,  обнаружела вот такую картину в расписании.  Сделать ни чего не могу, даже не пойму почему так стало. Помогите, подскажите, что с этим делать?",Проверить привязку учителя к группам
В учебном плане автоматически идет на 36 недель сумма часов. Так и оставлять или удалять 0 ставить на 35-36 неделях?,Так и оставить
"Подскажите с расписанием.У нас один учитель ведет одновременно один предмет сразу у детей из разных классов.Расписание одного класса встало, а другой класс не встаёт - пишет что у учителя уже есть урок в этот день, в это время.",На одном уроке не может учитель вести два разных предмета в разных классах.
Как можно скопировать всю неделю внеурочки на класс? Все занятия за неделю.,"Внеурочная деятельность, расписание, расписание на год"
"Анна, скажите, есть инструкцию по надомному обучению?",https://help.myschool.mosreg.ru/search/index.php?q=%D0%BD%D0%B0%D0%B4%D0%BE%D0%BC%D0%BD%D0%BE%D0%B5
"И еще скажите, если внеурочную, например, Разговоры о важном, сделал один преподаватель в параллели, программа и темы одинаковые во всех классах параллели. Я могу брать эту программу, создавать группы и назначать педагогов? Использовать одну программу на параллель, а в группах указывать разных педагогов?",https://school.mos.ru/help/instructions/journal/extracurricular-activities/
В классе ребёнок с УО. Как для него составить расписание?,Как он посещает занятия фактически?
"Добрый день! Подскажите, пожалуйста, почему не отображается в журнале учебного курса список обучающихся?",В группу добавлены ученики?
"Добрый день! Если родители 9-тиклассника категорически против регистрации ребёнка на госуслугах, то такой ребёнок не сможет иметь доступа в дневник? И в Олимпиадах не сможет участвовать?",Да
"Можно ещё вопрос? У нас учитель на больничном, надо ли отменять уроки, как в школьном портале или здесь другая система? В инструкции не нашлаю",В разделе расписание - замены надо поставить замену (если так и есть) или нажать на галочку отмены урока.
"Учебный предмет Практикум по естественно-научной грамотности не добавляется в раздел учителя-часы. Что я делаю не так. Подскажите, пожалуйста.",Проверьте в личной карточке учителя назначение предмета.
"индивидуально, у него свой учебный план","У учителя по этому предмету две группы? Одна - весь класс, вторая - надомник?"
Возможно для надоимника отдельно я не назначала,Также как и остальные предметы назначали надомнику.
"Анна, здравствуйте!А как вставить в общее расписание расписание детей, обучающихся по СИПРу? ПОМОГИТЕ!","Если у них такой же учебный план, то ребенок учится по расписанию класса"
"Анна, здравствуйте! Что же мне все-таки делать с расписанием детей, обучающихся по СИПР? Вся надежда на Вас. ПОМОГИТЕ!",Можно конкретный пример. Что надо сделать на одном уроке?
"Что делать, если у ребёнка свидетельство о рождении молдавское и система не даёт создать учётную запись, хотя ребенок есть у родителей на гос услугах? Подскажите, как решить эту проблему.",Осуществить привязку ребенка к своей учетной записи на Госуслугах через посещение МФЦ. Там же проведение валидации иностранного СоР
"Подскажите, как создать замену урока уроком по другому предмету, чтобы отражалось как замещение?","В разделе расписание, замены,, создать замену, ввести ФИО учителя, которого надо заменить и даты замен. Отразятся все уроки, в поле ФИО учителя, который заменяет уроки, выпадает список возможных учителей. В поле с листочков написать причину замены."
"Здравствуйте! Тема в чате поднималась но вариант решения я не нашла. Не выпадает привязка планирования. Ни одного плана не находит. Причем,из 4 классов только в двух в параллели . А другие 2 привязываются. Можете помочь?",Проверить количество учебных недель не менее 36 и наличие дидактических единиц на каждом уроке
"Доброе утро. Как внести планирование и ктп, если создана вакансия по предмету. Учитель по замене тоже это сделать не может",Администратор назначает себе предмет и ставит ктп
"Доброе утро. Коллеги, подскажите пожалуйста, как внести расписание внеурочных занятий, если он позволяет их вносить только с пятницы с 14.00 и субботу и воскресенье. Как ее распределить на все рабочие дни недели",В режиме пребывания предусмотрена внеурочка во всё время?
"При переносе из Школьного портала в мою школу у ребёнка неправильно записана дата рождения, он не может зарегистрироваться на олимпиады. Обращаться в СТП или я смогу ему чем-то помочь? Спасибо.",Изменить самостоятельно
"Здравствуйте. У нас в школе такая ситуация - учитель математики, отрабатывает до 14.09 и увольняется. На данный момент находится на больничном. Расписание уже было составлено. Как поступить сейчас, менять расписание с 14.09 или с 01.09.?",Менять с 14.09
"Подскажите, пожалуйста, как быть. Два 11 класса прикреплены к одному и тому же учебному плану. В одном классе расписание и все учебные предметы удалось выставить. А в другом только частично. Что делать?",В чем проблема? У учителя уже есть уроки в это время?
"Вопрос: Трудности с «поделиться учебным планом» (как его опубликовать или как им воспользоваться)?Ответ:Формируя поурочный план у вас есть возможность указать, для кого составляется поурочный план.. Если только для вас, выберите «Для меня». Если вы планируете поделиться поурочным планом с коллегами, выберите «Для другого» и укажите ФИО учителей, которым данный план станет доступен. Автору материала данный поурочный план также остается доступен.Учитель, с которым поделились поурочным планом, сможет увидеть план во вкладке «Все».Получателю плана стоит помнить!К группе можно привязать только план разработанный в кабинете учителя предметника , то есть если планом с вами поделились коллеги, вы так же нажимаете на кнопку ""Разработать поурочный план"" и осуществляете разработку на основе полученного от коллеги плана.","Добрый день! Всё равно остаются трудности. Коллега видит Учебный план в списке, но его нет в числе доступных как основа для разработки. Что может быть не так."
"Подскажите, почему метагруппу не видно при выставлении расписания?",Учитель назначен? Часы есть?
"Анна, здравствуйте . подскажите , пожалуйста , если у меня в учебном плане часы не урегулированы, мне можно привязку сделать?",Почему часы не урегулированы?
"Коллеги, поделитесь, пожалуйста , опытом по внеурочке. Программы, группы, учителя и т.д. созданы, назначены, распределены. Высвечивается ТОЛЬКО ОДИН учитель по всей программе (это я могу как-то об'яснить). А назначенные учителя грузят КТП каждый или тоже только тот, кто ""светится""?","Посмотрите при создании программы, кто автор?"
Добрый вечер! Подскажите пожалуйста как создавать группы детей по предметам? Это можно сделать только после того как будут загружены учебные планы и  расписание?,"Нет. Сначала группы, а потом расписание"
"Здравствуйте, был один класс 1-а, сделали расписание.Вчера появился еще 1а, сегодня пропал 1-а с расписанием.1а не можем добавить расписание, т.к. система пишет, что у учителя есть уже урок, хотя в нагрузке у него стоит 0.Что делать?",Что у этой школы в ОбрУчете?
"Можно на орксэ, соединить  детей из 3 классов в одну группу? И как это сделать, если можно. Если нет, то как оформить расписание?",Через метагруппы
Как внести надомника? Надо ли создавать отдельный класс? Или  это как-то по-другому делается?,Для надомника отдельный класс с пометкой НДО.
"МБОУ ""Школа № 8 с ОВЗ"" не можем привязать нагрузку по предметам к учителю. Все предметы и класс к учителю в кадрах привязаны. Без этого невозможно создать расписание.","Это не тот раздел. Группы, учителя,  часы"
Не отображается,Учебные планы присоединили к каждому ученику?
Как удалить расписание класса на год?,В разделе расписание - расписание на год
"Здравствуйте.Классу был ошибочно прикреплен один учебный план(физ-ра 2 часа) , затем он был изменён на другой(физ-ра 3 часа) . В результате количество часов физ-ры не увеличилось, что делать?","Удалить учителя, сохранить, обновить страницу."
"Учителя сообщают, что в ЭЖ сами собой появились Б в журнале отметок/посещения. Система связана с медициной? Подтягиваются справки детей? И что делать, если стоит Б или Н, а ребенок присутствует?",Пока ничего не делать.
"Уважаемые администраторы, есть информация, что с понедельника закроют доступ ""назад"". Просим продлить доступ к прошедшим календарным датам по всем пунктам как школьным  администраторам, так и учителям как минимум до конца месяца. В связи с сумасшедшими перебоями в работе системы, и тем это это новая платформа, кардинально отличающаяся от старой, уложиться в такой срок просто невозможно. Во многих школах проблемы с размещением расписания, из-за этого учителя не могут качественно заполнять журналы. Вы ДАЛИ  возможность СВОИМ администраторам исправлять ошибки. Просим дать возможность и школам привести платформу ""в порядок"". ПРОШУ НЕ ОСТАВЛЯТЬ БЕЗ ВНИМАНИЯ НАШУ ПРОСЬБУ! Ответьте, пожалуйста.",А откуда такая информация?
Как добавить ребенка в расписание к классу по УП ОВЗ,Через группы по предмету.
"В КТП учителя часы контрольных стали неактивны, рядом написано  ""на рассмотрении у завуча"". Что это может быть? Администраторы ничего не делали)","Заместитель директора смотрит даты контрольных работ, чтобы не получилось в один день 2 и более контрольных."
"Добрый день! В чем может быть проблемы. Расписание было выгружено на неделю, все педагоги сделали  себе ктп на год. Мы продлили расписание на следующую неделю и ктп у всех учителей слетело 🤯",ктп слетело или даты не проставлены?
"Пожалуйста, помогите. Сил больше нет. Заменили учителя....Максимову на Маскалёву. Изменили привязки с первого шага. Удалили расписание. Везде все правильно и только в самом расписании опять выдаёт Максимову и загорается красным. Хотя она отвязана от этого класса. Везде удалена. Я не могу сделать расписание во втором классе.",Попробовать удалить через расписание учителей.
"Дмитрий как админу посмотреть отчет по педагогам? (кто опубликовал КТП, например)в ошибках полный бардак (где раздел ""нет темы уроков"") - при исправлении там обновление не происходит. Т.Е. реальной возможности отследить внесение КТП не нашла.",В разделе Требует решения (красный восклицательный знак)
"А есть у ПОДДЕРЖКИ простая инструкция (в картинках) как ребёнку зарегистрироваться на олимпиадах через ГосУслуги и Мою Школу? Дети страдают, сроки жмут!!! (23 обращения от учеников и родителей).","Все участники Всероссийской олимпиады школьников должны быть авторизованы на портале «Моя школа» и иметь учетную запись на портале Госуслуг.📎 С 1 сентября 2023 года все школы Подмосковья перешли на ФГИС «Моя школа». Для авторизации на портале обучающемуся необходимо иметь учетную запись на портале Госуслуг. Регистрацию обучающегося младше 14 лет во ФГИС «Моя школа» и создание учетной записи ребенка на Госуслугах проводит родитель. Инструкция: https://help.myschool.mosreg.ru/instructions/mesh-id/authorization-esia/authorization-diaryreg/👩🏼‍💻Просим вас уже сейчас пройти регистрацию, так как авторизация на Госуслугах может занять от 15 минут до 5 дней в зависимости от загрузки ведомства.➡️ После авторизации на портале «Моя школа» необходимо пройти авторизацию в сервисе «Олимпиады». Инструкция: https://help.edu.mosreg.ru/instructions/olympiad/olympic-student/authorization/‼️‼️Смотреть видеоинструкцию."
"Доброе утро! Проблема с детьми имеющими иностранный сор так и осталась. Родитель обращался в МФЦ. У ребёнка иностранный Сор, нет 14, в кабинете у родителя привязан. В МФЦ сказали, что нельзя ему создать упрощённую учетку, пока не получит паспорт. Как быть? И это не единственный случай! МФЦ отправляют обратно в школы.","Доброе утро! В каком МФЦ такое сказали? Нужен адрес и ФИО человека которому отказали и дата обращения, попроси уточнить"
"Как привязать поурочное планирование предмета, который проводится 1 час через неделю? Сейчас система сделать это не дает. По истории у нас,например,  2,5 часа в 9 классе, у надомников бывают уроки по 0,5 часов в неделю.","В поурочном плане количество уроков должно быть не меньше, чем в УП (обычно - пропорционально 36-37 нед.) + для основных предметов на всех уроках указано хотя бы по 1 ДЕ"
"Подскажите, пожалуйста, как в расписание поставить две группы английского (Анг/Анг , Анг/нем. Техн/техн) у разных учителей на один урок?","В пункте группы по предмету делаете 2 гр, в пункте Группы, учителя, часы прикрепляете учителей. В Группы, учащиеся правильно делите обуч на группы. Все должно стать в расписании правильно.Если Вы ставите 1гр, а вторая не появляется, то есть пересечение обучающихся в группах. Надо внимательно проверять"
"Гимназия ФрязиноТак как мы учимся работать с данной системой, то идет запаздывание оформления расписания. Подскажите как распространить расписание на прошедшие дни. Система не дает.",Здравствуйте. Есть возможность копирования расписания на дату
"МАОУ СОШ 10ДолгопрудныйПоставила дистант на 08.09.Потом скопировала расписание этой недели на весь сентябрь. И по всем пятницам теперь стоит дистант. А убрать его не могу, так как нет этого дист.периода на странице Управление д.периодами.Как быть?",1. Убрать дистант на 8.092. Скопировать расписание на весь сентябрь3. Поставить дистант
"МОУ ""Лицей №4 г. Дмитрова"" - у нас числился сотрудник на совместительстве. На основном месте работы она не отображалась, поэтому школа с основного места работы написала в СТП. В итоге: ее удалили у нас и завели на основном месте работы. Учитель уже заполнила поурочное планирование и занесена была в расписание. Почему СТП без разборов удалила нашего сотрудника?",У нас такая же ситуация. Совместитель перестал видеть свой журнал
"И ответьте мне на поставленный ранее вопросГимназия ФрязиноТак как мы учимся работать с данной системой, то идет запаздывание оформления расписания. Подскажите как распространить расписание на прошедшие дни. Система не дает.","задним числом расписание можно пробовать делать только через расписание учителей. если не получится, то никак"
